ID	TARGET	TEXT	STANCE
34	转基因食品	【RK新闻】1、周度美豆出口816400吨，新豆768600吨；豆粕84400吨，新粕108500吨；豆油13900吨，新油1900吨。2、2015年乌克兰大豆产量从2003年的23.2万吨升至393万吨。3、韩国招标买入6.1万吨美国或南美玉米。4、阿根廷农业部：大豆产量已损失370-400万吨，还有100万吨质量受到影响。5、孟山都与阿根廷	UNKNOWN
35	转基因食品	来自@N型半导体料理师虾球君 的投稿。作为八代回交纯合子的崔化钠就是要有这样的追求！（po主被戳到笑点了哈哈哈哈哈哈！）	UNKNOWN
36	转基因食品	无农药，无化肥，无转基因的“三无”有机番茄就是透着无法言语的自然美~~	UNKNOWN
37	转基因食品	转不好，把国人都装成傻逼。我们可不想做那小白鼠，你们农大做实验可以试自己，自己去吃转基因食品。支持小崔，干倒转基因，拯救全人类，在欧洲、俄罗斯都是杜绝的，哪向中国转基因肆意乱为，转基因是否质量过关，是否有害？有过求证？就乱种，转基因吃多了，以后的孩子都畸形，病多，谁负责？	UNKNOWN
38	转基因食品	大学以上学历的基本都在支持转基因技术[doge]	UNKNOWN
39	转基因食品	天天看崔永元在网上唠叨转基因的事，觉得的跟电视上的小崔判若两人。网上的这个崔永元太幼稚了，没电视上的小崔有意思。建议网上的崔永元应该看看康熙对李光地说的那句话：你做人一般，治学也一般，唯苦力做的好。希望小崔能看到，能想通里面的道理。 |花东街	UNKNOWN
40	转基因食品	【中国绝对是负责任的大国】为了让欧洲人民吃上放心的中国大米，中国检验检疫科学研究院，早就举办输欧米制品转基因成分检测方法培训班，严查对欧大米。保证出口欧洲大米不含任何转基因成分，保证出口大米的绝对安全。感动了西方社会，再次无可辩驳的证明了中国是个负责任的大国。绝不祸害洋人！绝不！	UNKNOWN
41	转基因食品	科学家应该通过实验用事实来说话，不然，还能称之为科学家吗？	UNKNOWN
42	转基因食品	分享自大洋彼岸的绅士《转基因食品真的安全吗？》 - 最近，基因农业网曾发表一篇歪曲事实的博文，称全球科学界对转基因食品的安全性存在共识。其实，美国国家科学院、英国皇... (来自 @头条博客)  |转基因食品...	UNKNOWN
43	转基因食品	为什么支持转基因就是收黑心钱…？	UNKNOWN
44	转基因食品	美国的和平演变也是趋势，你还当他推手，悲手，转基因和杂交有不同吗？杂交种子早就有，转基因谁能知其害呢？//【农科院生物研究所原所长：转基因是安全的是大趋势】 http://t.cn/RqxsCLW	UNKNOWN
45	转基因食品	孟山都和杜邦等公司与美国大豆出口协会策划把中国作为战略目标！由中国农业部、科协、科院和媒体出面落实转基因推广，中农办制定政策路线，由农业部和财政部等部门以改革为名，用财政手段砍掉中国农民的双脚，把十亿农民赶出农田农村，为杜邦等转基因公司全面敞开市场。 |盐城·东进...	UNKNOWN
46	转基因食品	很多人用此图证明粮食税高，但不知道粮食进口税高主要是保护市场，因为中国农产品成本高，没优势，一旦放开农民就垮了。而转基因大米可以降低成本，但又不叫种。所以不要一方面反对转基因一方面又叫喊税太高，没有两全其美的事。阻碍科技进步就只能忍受高粮食价格，最终被国外进口粮食冲垮。因此说反转	UNKNOWN
47	转基因食品	谁提出的转基因先给谁吃，别整天糊弄平民百姓，我们没有那么高雅，吃转基因！纯天然的最适合我们吃！	UNKNOWN
48	转基因食品	老大说大米是转基因了，白面添加剂了,現在盛行小杂粮。叫我每天吃玉米面和小米粥。大米饭是主食啊主食!南北方不同的好吧！	UNKNOWN
49	转基因食品	搞转基因的人，可以分为两类：一种是理想主义狂人，以为自已是上帝，要为人类创造新物种，而不管不顾可能造成的灾难。另一种是流氓式的商人，想通过转基因建立自已的新商业王国，明知转基因有害而极力掩饰。	UNKNOWN
50	转基因食品	转植酸酶基因玉米粉一小包，抗虫转基因玉米碴儿一小包、抗虫转基因大米一包，都分给了负责加工的 @tkong @可爱的牛牛 @手语者 ，还不知道最后的成品长什么样子。周六拍照地点分别在西湖公园正门、省博物馆正门以及野餐品转处，如遇阴天等较坏天气就移至茶馆喝茶聊天。	UNKNOWN
51	转基因食品	卧槽，为什么啊？转基因都开始抗蝗虫了？生态平衡你懂吗？知道牵一发而动全身的意思不？金字塔最底端的生物撑起了它之上所有的生物层你懂不？你家盖房子可以直接盖二层是不？毒虫子的药你吃了没立刻死是不？你可以天天吃了。不要管我。	UNKNOWN
52	转基因食品	在孟山都，我们汇聚多元化人才，有超过2万名员工，遍及世界67个国家，为此我们感到非常自豪。同样，我们尽力支持各个职位及各个组织层面女性职员的职业发展前景。在今天，我们要特别感谢公司的女性员工们为解决世界粮食问题所做出的努力和付出！	UNKNOWN
53	转基因食品	被方是民污蔑为“托”的女士澄清自己并非在超市被崔永元采访。建议这位女士拿起法律武器保护自己的名誉。另外这位女士确信自己是食用了八年转基因食物之后得了癌症的。@编剧赵华 @大洋彼岸的绅士 @方舟菊子#小崔考察转基因#	UNKNOWN
54	转基因食品	转基因大米安全证书已经过期，换句话说拐诱青年试吃没有安全证书的食物，目的是要看看他【会否失去生育能力】，这应该是灭族犯法的吧？【破解袁隆平言论：号召愿为科学献身年轻人来吃转基因大米，要是『有生育能力的年轻人』吃了『失去生育能力』，那就是真的不安全。这需要很多人、北、南方人都来试】	UNKNOWN
55	转基因食品	发表了博文《崔永元哪里来的自信？》看了崔永元在复旦大学和复旦大学生科院卢大儒教授辩论转基因的视频。崔永元问卢教授黄金大米转了多少个基因，卢教授说是2个。但崔永元言辞确凿的说黄金大米是转了7个基因，并据|崔永元哪里...	UNKNOWN
56	转基因食品	我们每个人内心都贮存着许多不同的种子，它们有着完全不同的基因。有的可以开出花香，有长可以长成毒草；有的充满欲望与贪婪，有的充满慈悲与奉献；有的悲观抱怨，有的乐观感恩。积极的人生需要找到那棵希望的种子，它有着向善的基因，包裹着理想、信念的力量，可以激发出执着的火花。用心培育这样的种	UNKNOWN
57	转基因食品	我们的两会上谁提转基因问题啊？农业部长今年怎么回答的？	UNKNOWN
58	转基因食品	中种国际种子有限公司（孟山都与中种集团合资公司）“迪卡667”春播粮王颁奖会暨脱粒测产启动会近日在山东举行。山东济宁市胡寿昌以亩产2337斤的成绩夺得“粮王”称号。详见@农民日报《中种国际春播“粮王”颁奖会举行》http://t.cn/RU1korX	UNKNOWN
59	转基因食品	我大学就是学生物的，我们老师就是专门研究转基因水稻的，他自己的研究果实自己都在食用，不懂不要乱说	UNKNOWN
60	转基因食品	【孟山都滚出中国：为了我们自己，请进来点赞！|2015年5月2...】为什么反孟山都？1. 为了粮食安全，反对孟山都运用基因技术和专利法规操控农业生产。2. 为了永续发展，反对孟山都以破坏生态的手段牟取私利。3. 为了人类健康，反对孟山都实验造假，欺骗中国政府与人民。	UNKNOWN
61	转基因食品	最重要的非转基因大豆基地沦陷？还能不能好好吃豆腐了？中国宝贵的黑土地上陡现非法转基因大豆种子，不仅威胁到传统的大豆品种，更让我们餐桌上的豆制品变得“说不清道不明”。别让非法种子的星星之火“不慎”燎原，转基因失控，后果很严重！>>http://t.cn/Ry4Kzhf	UNKNOWN
62	转基因食品	【分田单干的恶果】去年我国进口大豆1634亿斤，相当于国产大豆量7倍左右，对外依存度已超80%，进口大豆还有转基因。中国大豆历来生产量和出口量全球第一，如今产量掉到全球第四进口量世界第一。这种状况的根源在于分田单干，农村良田和大量土地荒芜，要种的农户和企业又没有农地的经营权。@经济日报	UNKNOWN
63	转基因食品	【一藤双生的番土豆】最近，英国人Hansord给喜欢吃番茄酱和土豆的人带来了新福音，他花了15年时间培育出了一个新型的植物品种——番土豆，可以同时满足了人们对于这两种食物的需求。据Hansord介绍，这一植物上面结番茄，土里结土豆。但它并非转基因作物，而是利用嫁接技术培育而成的新品种。|网络图	UNKNOWN
64	转基因食品	20年时间过去，同转基因利益有关的国内利益集团和精英帮，从政治、商业、研发、新闻媒体各领域里迅速滋生出来，一荣俱荣、一损俱损，休戚相关，所以他们紧密抱团、内外勾结；他们的名利全部来自转基因。这是极品的公器私用。即使不曾有共济会，他们也可以把自己搞成共济会 |备忘录（二...	UNKNOWN
65	转基因食品	们统计学老师说她当初调查的广东湛江的木瓜全部都是转基因的[喵喵]	UNKNOWN
66	转基因食品	http://t.cn/R56QxIv黑白猫道德毁了，应试教育劳动力毁了，土地财政百业毁了，贫富差距大内需毁了，不择手段攫取的财富圈到外国，转基因肆虐物种毁了，权力寻租大气土壤和水源污染了，既然是中国正在经历“浩劫”运数，农地不毁，粮田不被土豪权贵圈占开发园林是不可能的。	UNKNOWN
67	转基因食品	所谓的谣言其实都是有事实来源的。所谓的转基因科学家的科普其实都是在玩文字游戏，把民众当傻子。	UNKNOWN
68	转基因食品	评论@exex007 的博文【[转载]旧事重提——北京晨报：含有草甘膦的转基因大豆严重危害人类健康】："农业部自己曾发文承认转基因农作物本身就含农药，现在又大力支持转基因农作物给百姓吃，就等于给百姓吃农药，大概是在考验国民的抗农药能力吧。"查看原文：|[转载]旧事...	UNKNOWN
69	转基因食品	【博客：转基因种子“被窃”之争触动中国公众神经】- 非营利组织绿色和平与华中农业大学就海南转基因水稻种子事件发生口水战，这再度激起了中国公众对转基因食品已在多大程度上渗透进中国的争论。http://t.cn/8sdJWRr	UNKNOWN
70	转基因食品	有些人真他妈恶心，整天装成专家教兽当别人都是傻子？互联网时代不知到还不会查啊？一天到晚说别人不懂转基因，真问他又说不出个所然来；当现还是改革开放前啊，随便哪个教兽装个B别人就信你？一帮小人	UNKNOWN
71	转基因食品	现在吃的蔬菜大米 油 基本上都是转基因 党员们吃特供 唉。我绝非党员吃屎也可以	UNKNOWN
72	转基因食品	老文章新转发，公开展览挺转“科学智商”。 @正义之剑19820110 《到了向人民公开转基因大米真相的... -  编者按：真相只会迟到，决不会缺席！这是一篇2010年的旧文，被网站小编雪藏至今。不知，网站... (来自 @头条博客) - |北大博士：...	UNKNOWN
73	转基因食品	原po写的很透彻，真理从来都是掌握在少数人手里的（崔化钠的病估计加重了吧，疯疯癫癫的） |为什么崔永...	UNKNOWN
74	转基因食品	【瑞士商业银行家向2500万美元预算“因素转基因”农达、转基因玉米毒理学动物试验科学项目提供支持，埃及著名影星加盟《因素转基因》项目公众理事会】|瑞士商业银...国际性公众理事会将包括对转基因安全性持不同观点的成员 原文链接：http://t.cn/Rw1NXTq http://t.cn/Rw1NXTt	UNKNOWN
75	转基因食品	好我给你讲道理，什么时候证明转基因无害了？	UNKNOWN
76	转基因食品	基因~~~转基因 基因，是所有生物为适应自然而各自形成、不断完善的生存密码。生物的进化、繁衍全靠各自的基因继承、遗传。  转基因，则是人为将某些生物的基因进行改变，使这些生物发生变异。变异的生物进入食物链，则不可避免会对整个食物链产生影响。（待续）	UNKNOWN
77	转基因食品	【转基因，真好吃！】全国转基因大米品尝会一一南京站。	UNKNOWN
78	转基因食品	唉，你知道中国内部农产品收购已经严峻到什么程度了吗，墨西哥过来的转基因大豆跨海到岸价都比你本地农民的非转基因豆便宜，谁买你的非转基因豆啊，全是政府掏腰包补贴提价收购走了	UNKNOWN
79	转基因食品	曹明华: 孟山都转基因玉米种子都卖不出去了，中国转基因种子公司要在世界一片反转声中谋求生存，其实目标市场还是中国消费者：1）跟中国农业决策机构勾结，大幅度降低玉米收购价格， 让中国农民不再种植传统玉米；2）发改委明确农产品主要进口；3）中国转基因公司进军美国，跟孟山都竞争向中国出口玉米	UNKNOWN
80	转基因食品	那些个说反转是无知的，愚昧的，麻烦你们这些挺转的出来科普一下转基因的好处和安全性如何，还有会不会对原生的生态环境造成不可逆的污染？好让我们这些反转的不再愚昧，可好？	UNKNOWN
81	转基因食品	如果把转基因食品特供给 农业部的领导让他们吃 必须吃那我们就不得不信了	UNKNOWN
82	转基因食品	今天看到有人问，水果玉米是不是转基因的? 可以生吃不代表就是转基因的! 这种玉米是通过传统杂交育种得到的。而且水果玉米很早就有了，只是最近两年才得到关注而已。水果玉米皮薄汁多，香甜爽口，个人觉得非常好吃!	UNKNOWN
83	转基因食品	转基因：我们要相信政府，农业部管理严格把关慎密，中国不许乱种，进口大豆玉米没有进入流通市场，全部工业化。我们吃的豆制品可靠，甜玉米黏玉米金大米非常安全，豆油没有标注转基因都是安全的，饭店使用的散装豆油也是监管过的，农民种的不用除草的玉米种子是种子公司监管的…… |沈阳·华山...	UNKNOWN
84	转基因食品	美国把有毒基因移植到粮食中输入我国，让我们以慢性中毒的形式亡族亡种乃至亡国，他们怎么自己不吃转基因食品啊！ |崔永元赢了...	UNKNOWN
85	转基因食品	生者公有其基因种子，耕者私有其建树，这是生与养的永远可持续发展，人人都能摆脱贫困的定律。	UNKNOWN
86	转基因食品	在这帮由pig领导下的污染锅度，首先是要填饱肚子，至于转基因或者非转基因，反正领导吃的是非的就好	UNKNOWN
87	转基因食品	【携“防晒基因”番茄抗热不误高产】#新发现#番茄是起源于温带的外来蔬果，在包括上海在内的南方地区通常无法安然度夏。但昨天，上海生科院植生所的科学家宣布找到了一种天然自带的ER基因，ER基因表达量高的番茄相当于拥有“防晒霜”，可提高水分利用率，增强抗旱性。http://t.cn/RLeMMHz	UNKNOWN
88	转基因食品	老崔认为整个中国科学界都收了孟山都的钱，只有他自己是正义的斗士，正如一个在高速上逆行的司机固执的认为是道路修错了。然而最可悲的不是崔永元，而是那些他的支持者。在一个很严肃的科学问题上他们宁肯相信一个主持人、相信一个戏子、也不相信有专业素养的科学家。 看看现在满口的生殖器的崔化钠。	UNKNOWN
89	转基因食品	政府工作报告有个小细节，一边确保粮食稳步增长，一边确保退耕还林持续进行。一增一减怎么办？转基因作物。尽管在相关领域内存在争议，不过没有切实证据表明转基因的“危害”。崔化钠的视频唯一具有参考价值的是中国政府应加强监管力度，包括监控转基因标示和建立更可靠的行业体系认证等。	UNKNOWN
90	转基因食品	就问一句 高层领导及家属们吃转基因吗？	UNKNOWN
91	转基因食品	支持国产自主研发的转基因技术，科技兴农破除愚昧谣言。上海将于2月8日举办转基因大米品尝会，庆祝转基因抗虫水稻“华恢1号”和“Bt汕优63”再次获得由农业部颁发的农业转基因生物安全证书。活动报名截止至2月3日，细则见图。请@科学公园 帮忙转发。谢谢	UNKNOWN
92	转基因食品	崔永元两会震撼提案：问责渎职官员解决转基因滥种！（小崔一个人的战斗能走多远） http://t.cn/R5ocGw5	UNKNOWN
93	转基因食品	嗯，其实我平时就是在吃。比如肯德基的甜玉米，爆米花，菜场买的粘玉米，紫署都是转基因。说妖魔化不为过。如果我现在把你抓起来，关监狱。虽然你没犯任何罪，但是我只要证明你有犯罪动机。你觉得公平吗？	UNKNOWN
94	转基因食品	中美农业长期战略合作规定是元首级别的。任何人，顺着1979-2015这条路径走一遍都能看清楚，中国农业的所谓的战略合作伙伴，不是表相上的那个美国农业部、也不是孟山都公司，而是货真价实的生化帝国主义。——顾秀林：备忘录（十八）让“科学”给中国人民“当家”？ |转基因备忘...	UNKNOWN
95	转基因食品	转基因食品和传统食品都含基因，不管外来基因还是内源基因，吃到肚子里都会被消化和降解，更不会转到生殖细胞中。另外，1989年转基因微生物产的奶酪，1994年转基因番茄，1996年转基因大豆、玉米和油菜，迄今均没有发现食用安全问题。@赵薇 农业部http://t.cn/RPyxKeW http://t.cn/zRbWEQF	UNKNOWN
96	转基因食品	转基因食品：一，口味变差了；二，营养变差了；三，有毒有害；四，转基因种子，是帝国资本控制中国粮食的钥匙；五，转基因可以潜伏使人类智慧弱化、体质弱化，甚至失去生育的能力的基因木马；六转基因泛滥，将使生物的多样性遭到破坏，绝大多数农业物种	UNKNOWN
97	转基因食品	专家说转基因健康又安全？好吧！这么好的话就作为给官员和领导的特供吧。一般人我们怎消受得起，谢谢。	UNKNOWN
98	转基因食品	关于粮食安全不得不说的五方面的问题！-------转基因技术面临的三个问题似乎绕不过去，这就是，一不增产，二不环保，三存在潜在的健康风险问题。	UNKNOWN
99	转基因食品	【圣女果是转基因蔬菜？】圣女果其实是种"原始番茄"，并非转基因。http://t.cn/zYB7WGO 以外貌来判断是否是转基因是不靠谱的，因为转基因转入的基因对植物形态没有显著的影响。市场上作为商品销售的转基因食物，都需经过严格检测和审批才会上市，和传统食物的安全性没有差异。 via 谣言粉碎机	UNKNOWN
100	转基因食品	虫子小姐，你整天以牛津名校高知招摇撞骗，整天忽悠国人吃转基因毒药，你把英国超市转基因食物图片，所占总食品的份额，购买情况发到网上，用事实说话，看人家欧盟是如何对待转基因食品的！是欣喜若狂，还是畏如蛇蝎？要不就别在这里忽悠老百姓，污蔑博主，否则下次见你，就不是这态度了！你看着办[怒]	UNKNOWN
101	转基因食品	湖北和浙江百姓私下种植的转基因水稻华恢和克螟稻，都是自己留种，因为买不到种子。当初科学家给他们种子，母本就没用不能留种的杂交稻。	UNKNOWN
102	转基因食品	就像原来的大棚蔬菜一样，一开始不接受，最后还是会普及开来的吧。	UNKNOWN
103	转基因食品	为庆祝该转基因抗虫水稻“华恢1号”和“Bt汕优63”再次获得由农业部颁发的农业转基因生物安全证书，为响应2015年中央1号文件中要求加强转基因科普的号召，2月8日，绍兴与全国22个城市同时举办转基因大米品尝会，共享此科学之宴。活动报名详见：http://t.cn/RwvNf7I	UNKNOWN
104	转基因食品	走遍菜场，看到的不是去年的水果就是转基因的小番茄，最应季的就是桑椹，今晚炒桑椹，喜欢这酸酸甜甜的味道，喜欢这春天的气息。	UNKNOWN
105	转基因食品	中央广播电台关于转基因大米品尝会的报道还可以，但标题起得与内容不符。23城数百网友共同试吃转基因产品被质疑“违规”http://t.cn/RwLeLvI	UNKNOWN
106	转基因食品	[挖鼻]让那些人先吃……突然人都基因变异，是他们负责吗？[喵喵]	UNKNOWN
107	转基因食品	这真的是你们反转的言论，我确定美国人吃了很多的转基因，你真的以为他们自己不吃的东西，别的国家会蠢到买来吃吗？你们反转总是张嘴就来，当别的国家都是白痴呢？	UNKNOWN
108	转基因食品	（预售）农家绿色现打大米（非转基因）9元/斤我家的米都是从老家现打带上成都的，由于一直没时间回去，拿上来的米已经吃完一段时间了，每次老公都只买5斤、10斤，造成家里经常没米，就是想哪天回老家去拿上来 http://t.cn/R5cEGjA |成都·玉林...	UNKNOWN
109	转基因食品	评论@吕永岩 的博文【著名农业专家揭露转基因十大谎言】："中国农科院农业专家#佟屏亚#揭露#转基因#作物滥种黑幕：“南方农田遍植转基因水稻，北方大地滥种转基因玉米。”"查看原文：|著名农业专...	UNKNOWN
110	转基因食品	博主也是喜欢转基因的傻蛋？我就纳闷了，你对它几乎毫不了解，凭啥就相信它呢？以前瘦肉精也是“无害”，但欧洲和中国禁止了，你在美国还在尽情享受吧？好！跟转基因一块吃！多多益善！哈哈哈……	UNKNOWN
111	转基因食品	苦等生日龙主人回复等到现在……睡去了……（刚刚把玛娜接回家了，不论性别阵营颜色还是基因都非常完美的玛娜（也许说黑魔导女孩更合适吧……）。有她安慰我即使接不回生日龙也算了……搜了一圈AH没有找到完美的师匠，算了（明天biu老番茄和tokimasa的二儿子，罪过罪过……	UNKNOWN
112	转基因食品	能不更有力的证明转基因无害。不要说没有发现不良，有些事情是潜伏在时间的深谷。请天朝爱护子民	UNKNOWN
113	转基因食品	看看英国皇家学会怎么看待转基因安全转基因食物安全吗？英国权威学术机构英国皇家学会在近日出版的《转基因植物：问题与答案》给出的结论是：与传统农作物相比，转基因农作物不会对环境造成危害，食用转基因农产品是安全的。该报告由英国6名资深植物学家组成的专家组完成，包括剑桥大学的两位著名教	UNKNOWN
