ID	TARGET	TEXT
19	转基因食品	现在的实际情况是挺转的没有选择，只能吃进口转基因食用油。惠农利民，有利环境的技术被压制，我们还得继续忍受环境的破坏，农药的残留。种田的效益下降，大量农田撂荒，这些都是反转的成果。
20	转基因食品	转基因大米2009年就获得安全证书，和普通大米同样安全。既然同样安全，那测试的意义在哪里？只会误导消费者。崔化钠反转已经成为笑话，你想陪绑和他一起打滚？想较真想讨个明白是好事，可惜用错了地方，你还是问问崔化钠他的公益基金为什么不公开账目。
21	转基因食品	老百姓名牌穿不起，好车买不起，大房子住不起，难道想吃顿对人体有益的菜饭都不行吗，至少你让我知道哪个是转基因哪个是非转基因，就算贵一点我也要非转基因的食材，从有关部门到农民你们都等于谋财害命，因果报应下地狱就知道再多钱也赎不了你们的罪过！
22	转基因食品	支持转基因，被反转围剿；反对滥种，被支持转基因派围剿。王局有难了。稳健派就是很难讨好人的。
23	转基因食品	鼓吹让大家去检测的，一是无知的反转，二是无良的想卖检测仪的。 你去年搞了个嘉年华就想推销罗云波的检测仪，可惜云无心沉不气给弄砸了。你今年不过是想再推一次而已！
24	转基因食品	如果全地球有7亿人，可以不吃转基因；但是全球有70亿人，还都想一辈子吃饱、活八九十年、多子多孙还养几个宠物猫狗，那么人类必然得吃转基因用核电[挖鼻屎]
25	转基因食品	质疑转基因的大概都是文科生，或者没上过高中基础生物的人，转基因是什么都不知道就人云亦云
26	转基因食品	既如此滥种，谁也无法幸免，你们都吃了不少年转基因的大米，不是一样生龙活虎深夜喷水，这难道不是反证了转基因大米的安全？
27	转基因食品	转基因是否安全是科学问题，滥用是管理不善，不希望没有人因这次滥用事件从而攻击转基因的安全问题，这里指的是那种已经批准上市或者取得安全证书的转基因。
28	转基因食品	王志安你别在这里蒙人！你买的那五袋大米真是随机的吗？检测出含有转基因成分的那三袋全部是转基因大米还是混入了一部分？比例多大？欧盟检测报告只报告检出转基因成分，含量是多少？0.01%也是检出吧？。另外，欧盟检出的批次占总批次多的比例是多？这些你都没有调查结果，只提检出，这不是制造恐慌？
29	转基因食品	从挺转围剿谩骂你的程度来看，转基因估计泛滥的已经非常严重了，否则谁有闲工夫骂你，还有好心劝告你以后转基因的食品千万别再试吃了，将对人身体有害的基因片段导入种子在理论上是成立的就是一般的转基因专家都可以做到，不要迷信专家，科学可信，并不代表科学家也可信！
30	转基因食品	不用测试了，崔永元有鉴别绝招：养几只鸟。如果鸟吃了，就不转基因的；如果鸟不吃，就是转基因的。
31	转基因食品	既然转基因很安全，支持转基因的也千千万万，转基因科学家们为何不从中挑选几万各个年龄段的志愿者，素质好的，有科学精神的试吃几年或者几十年，再进行评估？何必要偷偷摸摸大规模种植并偷偷的推向市场，不让人们有选择的权利？？？
32	转基因食品	黄大昉这糟老头子，写了篇挺转的文章，资深院士阅后评价：气势汹汹，不知所云
33	转基因食品	都不知那些搞转基因的怎么想的，是不是觉得中国太多，想灭些吗？
34	转基因食品	转基因作物滥种之所以非常危险，不是简单因为转基因不安全，而是因为转基因作物的品性是可以改变的。通过同样的基因技术，科学家既可以研制出健康无害的抗虫大米，也可以研制出传播疾病的超级蚊子。只有靠政府把关才能保证基因技术用在正路。政府并不一定永远是对的，但没有政府把关更加危险！
35	转基因食品	转基因转的是已知基因，杂交混杂一堆无序基因，化学辐射育种的变异更不可控，但如果没有以上这些科技，小麦亩产就只有150斤，水稻最多300斤，全国80%的人口老老实实种地吧！
36	转基因食品	你先问问转基因之前的育种安全吗？化学育种、辐射育种（包括中国吹嘘的太空育种），大剂量杀死一半种子，在剩下的种子里面找变异，你不害怕吗？
37	转基因食品	【“转基因风波”致武汉部分超市大米滞销】日前媒体曝光武汉超市混入转基因大米。记者从武汉网点较多的中百仓储和武商量贩了解到，两天来大米销量较平日至少降八成。市民王女士说：“我不反对转基因本身，只反对剥夺知情权，让群众自己选择到底吃不吃转基因食品。
38	转基因食品	“中国人实在是一个有意思的民族，对那些已知明确存在的风险的“舌尖上的中国”的各种传统食品趋之若鹜，甚至不惜附着上文化的外衣，但对于经过严格科学实验证实安全性没有特殊之处的转基因大米却避之唯恐不及。这样一种群体无理性的背后，就是我们的祖国、我们的同胞和我们的时代。”写的太他妈好了
39	转基因食品	滥种是建立在种子还未商业化的基础之上的。农业部委托多方专家做了论证，证明转基因水稻没有毒，却因为一些人的反对而迟迟不批准商业化，这本身就是一种很矛盾的做法。公众有时候会相信一个连氯化钠都分不清的主持人，却不会相信一群严谨的生物学家，反而只会给他们扣上各种帽子，这是我们的时代悲哀
40	转基因食品	错就错在转基因要求的专业知识水平太高，导致那么多外行盲目否定它。现在终于明白了为什么要多读书的原因了。我只想说，搞研究的人真的很辛苦，每一项科学成果都值得尊重。
41	转基因食品	为什么偏偏去选择大米，去第一个进行转基因化，而不是其他的任何作物？因为大米是中国人最为重要，最为广泛的粮食来源，每个中国人每年要消耗97公斤大米，用转基因，这种高危险的技术把中国大米全面改造，背后作局人目的，就是已大米为载体，无死角的覆盖每个中国人，进行全面的新型生物战打击。
42	转基因食品	草泥马，老子宁愿农药残留也不愿转基因，既然虫子都会产生抗体，人还不如虫子吗！
43	转基因食品	农药虽然有，但是自己可以想办法可以清除。转基因我们根本没法清除掉，更害人
44	转基因食品	你的转基因无害的认识，你所看的所有资料，你好好想一想，看看是不是都是出自孟山都，或为其代言的，别再拿无害骗自己了
45	转基因食品	我和王志安一样，理解并支持转基因食品。
46	转基因食品	孟山都抗草甘宁转基因作物里面，被转进植物细胞核里的【『必备』细菌与病毒】有：【抗除草剂细菌，大肠杆菌，引发肿瘤菌，花椰菜嵌纹病毒】。这就是为什么南美玉米农夫说他们不知道转基因玉米不能吃，他们吃了，他们的牲口吃了都泻肚子。同时最近的研究让小白鼠吃转基因食物一年后都长了瘤。Bt大米呢？
47	转基因食品	中国政府不批准转基因水稻商业化种植的首要原因就是转基因水稻的亩产量太低！张启发至今不敢公布他的转基因水稻的亩产量是多少！根据你们央视的调查，湖北农民种植转基因水稻的单产在大约500公斤，是中国高产杂交稻的一半！这还有什么商业推广价值啊？其次就是转基因水稻中的农药含量太高！农药能吃吗
48	转基因食品	你文中说“基因技术的推广延迟。农民要多付更多的劳力，我们要多吃一些农药……”，请问转基因水稻生产多种农药和吸收农药，含量都比天然作物中的农药残留量高出数百倍至上千倍！吃转基因农药食品是少吃农药吗？
49	转基因食品	转基因水稻生产两种农药并且吸收超强致癌农药草甘膦！转基因大豆中的草甘膦含量比天然大豆中的草甘膦残留量高出千倍之多！科学家研究发现万亿分之一摩尔（克分子）浓度的草甘膦就强致癌！张启发的转基因水稻中的草甘膦含量和进口美国的转基因大豆中的草甘膦含量一样多！不信就请检测！
50	转基因食品	2014.7.26来自五大洲13国农业科学家在中国向全世界发出了伟大的《北京宣言》[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌]！各国政府肯定了科学家的转基因严重危害动植物生命健康的客观事实！转基因不安全铁证如山！世界潮流，浩浩荡荡，顺者则昌，逆者则亡……妖怪显形了@王志安 @深海的鱼，发微博防止五毛菌腥涣散
51	转基因食品	客观事实是:我深知历史经得起人类的各种折腾，民间的转基因滥种日趋泛滥，一定会阻碍民族健康繁衍生息。人民要承担更多的疾病，我们要多吃一些草甘磷，这是我们为生活在这个时代付出的代价。但这种代价，和风驰电掣的历史相比，什么都不算。请看 伟大的世界2014.7.26《北京宣言》
52	转基因食品	王局：你的手记中大谈转基因水稻的安全论证，请问你的这些东东从哪里弄来的？可靠吗？这个很重要！从菜市场听来的？不就出洋相了！哦，是从大砖家那里道听途说的吧！也行，但一定要查证！不查证盲目信砖家很可怕！王月丹、蒋高明等的专业水平、资历不比那些大砖家差！学学崔永元！记者就干记者的事！
53	转基因食品	转基因如果没经过几代人的真人实验，说它无害是违背科学精神的！何况转基因本身就是违反了生物本身的自然规则！
54	转基因食品	面对人们对转基因的攻击，是得多具有普罗米修斯精神的人才能抵得住大多数人的背弃和误解。我总是因此感到痛心疾首。更愿意看到科学家们可以站出来为转基因正名，而不是等待历史的发生。
55	转基因食品	已经确认转基因有毒，再有挺转者都是他妈的王八蛋内奸汉奸
56	转基因食品	没有人反对转基因技术研究，但在其安全性确定前，坚决反对商业化。抗虫转基因，虫子吃了会死，人吃了你能确保没问题？？？？这相当于慢性毒药，不是几个月的试验就可以的
57	转基因食品	你这个混蛋不知道转基因就会自己产生农药吗？给我们打个包票，你连同你的孩子以及你的子孙坚决不吃特供，只吃转基因产品！吃特供你全家不得好死！
58	转基因食品	中国人也就吃农药的命，前几天农药粮食致大批麻雀死亡的新闻大家“习以为常”，反而经过大批科学家研究，有国际安全证书的转基因要无脑抵制，想吃毒食品，拦都拦不住！
59	转基因食品	很多人只是为了反对而反对，并没从科学的角度去思考，动不动就质疑专家。其实米国也都有很多转基因食品在卖，只是很透明，标识得很清楚。虽然我很讨厌方舟子的人品，但让我对崔永元的印象也大打折扣。
60	转基因食品	为什么？这个问题问得好。所谓通过安全性测试恐怕内里大有文章呢，除了张启发们，恐怕了解内幕的管理者们谁也不敢冒这个风险。// 江阴船山：既然说转基因通过安全测试.为什么不大面积推广?减轻农民的工作量！怕什么呢？卖种子的都象賊一样？为什么？？
61	转基因食品	是啊，那就更应该推崇转基因，转基因高产量低成本，必然低价格。传统食品必然贵。就如同大规模种植的食品会比天然绿色食品便宜一样。人可以自己不吃，但是如果反对他人吃，那便是谋财害命。
62	转基因食品	如果于人类健康无害，即减少了农药残留，又减少了农民劳动强度，转基因又有什么危害呢？“转基因”是一门科学，是技术，是生产力！如果证实对人类无害，发扬光大又有何不可呢？如果说美帝别有用心，那对完全自主知识产权的“转基因”，大可不必用套用阴谋论吧！
63	转基因食品	很好奇，如果当初“转基因”不是以这三个字命名，结果会不会不一样？比如用“高蛋白大米”“高蛋白玉米”这类模糊的词替代“转基因大米”“转基因玉米”，我想现在估计全国都泛滥了，或者政府允许推广了，转基因这三个字太有杀伤力。虽然十分感动，但是我还是要拒绝转基因！
64	转基因食品	中国绝大部分人缺乏基本的科学素养和思辨精神，让他们从理论上理解转基因技术的优势和安全，难度性不亚于让他们读懂天书（其实他们根本懒得看那些专业的文字）。而各种网络谣言则看上去通俗易懂的多，非常符合大众的认知水平。但历史的潮流不可阻挡，基因科技是人类的未来，农业，医疗，一切都将巨变。
65	转基因食品	本人支持转基因，愿意试吃各种转基因食品，如有人能长期提供转基因食品给本人吃，我愿意免费做转基因人体实验志愿者，并且每天拍下吃转基因食品的视频发到网络上，有意者私信联系。
66	转基因食品	请问：如果通过动物毒理实验，请拿出所有证据。如果是无害的，请问美国早已有此技术，为何也未被运用到商业种植。如果是无害的，请问出口欧盟的问题制品，为何拒绝。
67	转基因食品	转基因大米安不安全其实不是最重要的，因为这个安全仅仅是针对于有没有毒。更重要的是社会方面的问题。在国际社会普遍对转基因持保守观望态度的前提下，贸然批准转基因主粮化会造成极大的社会问题，这块可能会比所谓的“毒”造成更大的负面影响。如果不能谨慎行事，会对国家造成不可挽回的巨大损失
68	转基因食品	转基因就是转入病毒或菌毒的片段，等同于感染了有遗传性的疾病，虫子碰到这种有病的植物吃过几次知道有毛病，就不会再去碰了。人也一样，吃过的都说很难吃，根本不是可以吃的食物食物。科学家把食物转成了非食物，虽然这个玩意儿抗虫，抗杂草，可是吃的人只在乎它是不是无害，可以吃的所谓食物。
69	转基因食品	@王志安 一面利用央视平台制造社会恐慌，一面假惺惺地在微博上说：由于41分钟太短，没能告诉大家那东西其实没害，恐慌的都是傻子。根据公开的信息，我们就知道这些媒体人什么德行了。在历史的潮流中，这不过是一幕小小的闹剧，王志安的折腾的确算不了什么，连被钉在历史耻辱柱上的资格也没有。
70	转基因食品	国人科学知识较少，尤其是生物学！加之长期被洗脑，只要是美国人做的就反对，以示自己爱国，革命！愚昧之极！转基因是科学家利用尖端生物技术，将抗病，高产的基因转到人类需要的动植物上，这是科学对人类的贡献！当然，科学家会谨慎的，长时间的研究，观察，确认后就会进入使用，这是方向！不久将来，
71	转基因食品	这逻辑是认为转基因不需要政府监管。[嘻嘻]研究冰毒的科学家比官员更了解冰毒工艺[哈哈]，而且有钱赚。你以为转基因，随便怎么转、转什么都是安全无风险的？！即使安全就应该批准？如果是劣质品种凭什么批准？
72	转基因食品	以现在的科学理论就说转基因是安全的未免太狭隘，不说人对自身的研究在分子水平上还没研究清楚，就是转基因对周围生态环境是否会造成污染，对生物进化是否起不良作用也不清楚！举个不恰当的例子，引进外来物种本意都是好的，但很多都造成了灾难！还是相信自然进化！
73	转基因食品	不知道王志安是根据什么，信誓旦旦认定转基因水稻安全的，有实验报告吗？ 这是无知还是无畏，还是利益？
74	转基因食品	一帮完全不懂生物的人做出来的反转基因视频居然产生如此之大的影响，由此可见反智主义和民粹主义在我国传播之广泛。建议所有反转的网友wiki“韩长赋”、“饶毅”和“袁隆平”三人的观点
75	转基因食品	我相信不管法律怎么约束，任何事务只要对人有益总会潜移默化。不知不觉中有转基因大米可以吃了，也挺好。
76	转基因食品	真是猪一样的队友，转基因的危害点从来不在这里，而在于经过长期使用验证无害的转基因产物基本上都是经过提纯的。像转基因农作物这些，长期食用是否都会有致癌风险尚无定论（因为已经有过明确的小白鼠致癌报道了，那个品种迅速就被否掉了），技术本身是没问题的，但是在实际应用上需要非常谨慎的衡量。
77	转基因食品	想当年有多少愚昧的白痴咒骂讥笑吃西红柿的人？转基因食品已是大势所趋，反转的最好别去餐馆吃饭也别买含植物油的食品，反转的都该发毒誓——此生若食转基因食品全家不是人，看看最后有多少愚昧而虚伪的人选择饿死。
78	转基因食品	这些人整天喊转基因的危害。人类吃动物肉万多年，也没见吃出半兽人来。他们是哪来的信心跟底气嚷嚷转基因食品的安全问题的。。。。。。。。
79	转基因食品	我们老百姓就这样被做小白鼠~请问司马夹头南：除了中国世界上有哪个国家主粮被转然后还非法滥种还上餐桌？为什么美国不把他们的主粮小麦转了还商业化种植？我们这边不是已经研究出来转基因小麦了~你跟肘子赶快去给美国推销~让他们商业化种植我们的转基因小麦~你看人家干不干？
80	转基因食品	转基因的问题不是简单的有毒没毒问题，而是，人为转进去的基因不止目标基因（抗虫、增产等基因片段），负责运输目标基因片段的那个基因段对人体究竟有没有影响谁也不敢保证。
81	转基因食品	【顾秀林：转基因是灭绝人类的技术】为什么我国生物学界目前在转基因上几乎一边倒？因为在中国有240亿元经费的诱惑。。。那些鼓吹转基因无害的科学家和当年鼓吹三峡大坝无害一样，都是被强大的利益力量控制了，农业部副部长李家洋曾受聘美国公司推广转基因，声称保证3-5年转基因大米占领13亿人的餐桌
82	转基因食品	【全世界挺转基因食品的】都是骗子！因为，他们假装不知道：‘毒理学’是判断食品药品是否安全的‘最权威的科学’；‘致癌性等毒理试验的结论’是判断转基因食品是否致癌的‘唯一标准’ 
83	转基因食品	转基因油跟大豆最为泛滥！当然还有红萝卜玉米等等，@崔永元 
84	转基因食品	一般绿豆黄豆用水浸泡几天就能长芽，可前几天我妈妈用水浸泡的黄豆却一直没有生长出来，绿豆都长了好多呢。搞得我现在都害怕喝外面的豆浆了，搞得我现在吃东西都好忌口了，也不喜欢在外面吃饭还是吃妈妈自己种的菜最安全
85	转基因食品	方舟子，一个美国博士后，生物系本科学了5年，生物化学博士读了5年，之后做了3年分子遗传学博士后，受的生物学专业训练总共是13年。崔永元等媒体人，他们有资历与方舟子辩论高端科技转基因吗？可以说在转基因专业知识方面，一些毫无科学素养的媒体人就是给方舟子提鞋的资格都没有。
86	转基因食品	[话筒]“法新社2012年09月19日报道，一项研究发现，喂食转基因食物的实验鼠会患上癌症。法国政府已要求食品与健康安全部门展开调查，这很有可能导致欧盟暂停进口转基因玉米。据研究者统计，做实验的这批小白鼠普遍患上乳腺癌，并出现肝脏衰竭。50%的雄鼠和70%的雌鼠提前死亡。
87	转基因食品	昨天我也生发了同样的感慨：那么多明明有毒的东西，在这个社会受到欢迎，甚至还被美化成一种文化；而转基因技术，从原理上就安全合理，还做了完整的毒理试验，在这个社会却这么不被接受。真是悲哀！
88	转基因食品	转基因不等于高产，转基因不等于无农药，转基因不等于抗虫。反之，高产也不一定非要用转基因。不要泛泛的谈论转基因的厉害，要看转的是什么基因，这段基因的机制是什么。希望以后看到的是转A基因或B基因的讨论，不是非黑即白的”挺转“或”反转“。
89	转基因食品	滥种事件的确值得追究，但是看到教授的辛苦研究成果被无知污蔑，真是心痛！转基因无罪！
90	转基因食品	呵呵，今儿又浏览了一下很多微博上关于转基因的回复，以前很多不明真相者回复中还期望的是专家发个言给个话谈谈安全，现在王志安的节目出来，被人一利用，好多人说央视都说了，转基因有毒，现在什么转基因断子绝孙，不育，亡国之类的都出来了，呵呵，这个央视调查记者功不可没，你和崔永元去握个手！
91	转基因食品	科院蒋高明种植的农作物不使用转基因种子，不打农药一样可以达到防治虫害的目的，像王志安之流根本不懂农业的家伙在这里瞎咧咧，这到底是在为谁站台
92	转基因食品	敢于违法的 所谓“科学家”能够让人民信任？？！！转基因有自我的 复制扩大能力，任何失误将是全人类的灾难（这不比其他任何技术可以在发现问题时能够停下来，一旦释放将不可控制，特别是在物种被污染的时候，地球生物将完全改观，这对人类不一定是好事！）研究转基因我们还有太多的要做，请不要忙用！
93	转基因食品	因为许多人已经潜意识里认定它是有害的所以才会抵制，如果你懂它的产生原理以及一定的生化知识，大概也就不会这么否定它了。当然人们接受新事物都有各种各样的疑惑与不信任，只希望大家能够在真正了解转基因到底是怎么回事的情况下再下结论而不是人云亦云。
94	转基因食品	你们非不愿意尝试新的东西，非要落后挨打。航海时代，你们片甲不得入海，科技时代，你们斥之为奇技淫巧，互联网时代，你们封闭了网络，今天生物时代来了，你们全民反对转基因！你们这个民族真是劣等民族，活该被殖民，被从地球人抹去！！
95	转基因食品	农药残留老百姓都知道有危害。转基因却是被人蒙上金灿灿的外衣，进而蒙蔽消费者。这种缺德的事，只有汉奸最喜欢做。而农业部管理者对转基因不仅听之任之纵容，他们在其中谋得了什么利益，这才是最让人痛恨的
96	转基因食品	对地沟油笑而麻木，对转基因豆油义愤填膺
97	转基因食品	从理论上人吃转基因大米无害，但不代表其不会破坏自然的生态环境。应慎重。
98	转基因食品	[话筒]【食用转基因意味着什么？】国人啊请警醒！上帝的原创，带有权柄与恩典，简单说，造物主的创造有绝对的真理，有足够的爱足够的呵护在其中，比如我们体内有很多细菌都是食物自行解决的，食物（包括水）除了丰富的营养还有各自的药效、、、而转基因，改变了上帝原创，意味着脱离了上帝的呵护！！
99	转基因食品	民间反对转基因，是很可笑的事情。
100	转基因食品	他的安全性问题不是做几百组甚至上千组虫子实验就可以确定的，毕竟，人和虫还是差别大的。。。。。我保留意见
101	转基因食品	希望你的苦肉计能推进中国转基因技术的进步而不是相反。
102	转基因食品	既然转基因那么好！你自己吃好了！别忽悠普通老百姓！！！其实还不是为了利益，哼！
103	转基因食品	自从转基因再中国泛滥后，看看中国的变化吧！癌症、‘肿瘤、糖尿病等一些免疫系统疾病再暴增！年轻不孕的人群再暴增！！
104	转基因食品	转基因在我们的教科书里是好东西，可现实并非如此
105	转基因食品	现在农村就靠老头老太们在干农活，让他们打农药，想想都觉得有点罪过。现在有了抗虫的转基因作物，居然有人反对，完全是不可理喻的。
106	转基因食品	转基因农作物的推广，会解放更多农业劳动力，减少农药用量，增加农产品的市场竞争力。然而，科盲们更愿意看到农民困在土地上，还不愿意给农产品一个合理的价格。
107	转基因食品	转基因技术是把传统农业向现代化农业向前推进的必然选择。它是一项造福于民的科技创新。而在中国，被一小撮网络的大V、公知妖魔化，以致在民众中造成极大的恐慌，这是中国农业走向现代化的悲剧。
108	转基因食品	程序正义确实重要，违反法律的滥种当然要曝光。但科学才是转基因问题的核心，你这节目却主要强调管理，受众自然会产生管理有问题等于安全有问题的概念，多少人，多少年的科普一夜间白搭了。。
109	转基因食品	BT63是转基因，但转基因绝非是BT63。人们关心的是转基因技术系统对人的生物体质是否有系统性风险。科学家不仅应解说BT63的安全性，更应解说转基因技术系统。科学能造福人类，也能毁掉人类。比如，核电站与核武器的差别，但都是核科学核技术。
110	转基因食品	支你妹啊，就算转基因大米没问题还有论文称转基因玉米致癌呢。况且基因污染始终是个严重问题。
111	转基因食品	转基因利国利民利全人类，如历史车轮滚滚洪流不可阻挡，早点接受，尽快发展，别又等到国外全面领先了才悔之不及吧！
112	转基因食品	百姓的“无知”是可“饶恕”的；作为主管部门的“农业部”有着不可推卸的责任；还有转基因学术带头人张启发更是“历史的罪人”，对此事件具有不可推卸的责任。一个对自身生存都不麻木不仁的特色社会，是由改革开放赋予“特色社会主义”所带来的“特色”；请问有谁来对全国十几亿人口的食品安全负责呢？
113	转基因食品	您这别操这个心了，还是惦记每天多喝几杯冰牛奶以降低你本来就不多的智商吧！转基因这种邪恶技术一定会寿终正寝的！
114	转基因食品	转基因不是什么可怕的，都是被中国媒体和无知的人瞎炒作，你们最好还是多关心下自己每天喝的被污染的水和呼吸的被污染的空气！
115	转基因食品	本来就应该放开让农民种，降低农民的金钱和劳动成本，增加农民收入，又是自主研发技术不受跨国公司支配，又有安全认证，非要顾忌民萃科盲的傻逼舆论，把转基因好产品藏着掖着，自废武功。农业部一帮傻逼
116	转基因食品	大豆已经是例子，如今市场上都是国外进口的转基因大豆。中国农民种转基因大米是应该鼓励的，到哪天市场上充斥国外转基因大米，粮食安全掌握在他人之手，你们这群民粹才会心满意足
117	转基因食品	什么叫历史的误会？难道张启发在做转基因大米时不知道转基因技术是把双刃剑吗？不知道如果不加以限制的扩散会造成无法弥补的错误吗？难道张启发在研制转基因水稻时大知道美国是怎么管理这些转基因食品的吗？
118	转基因食品	国外很多研究报告，都证明转基因有问题，你是不知道？还是装傻？你们自己的研究又有多少人相信？你可以公开做试验吗？另外，国家的法律你都敢公开对抗，不知你还有什么不敢做的了？
119	转基因食品	转基因的食物有没有害，估计还得有个二三十年后，这些吃过的人来亲自证明才有结论。我是一名医务工作者，目前我所看到的只在一方面，就是近五年，育龄夫妻生育孩子，自然怀孕的比例在下降，需要在胎心出现之前监测孕酮比例，过低者需要注射或口服黄体酮，而在我生育孩子（十年前）基本不需要监测。
120	转基因食品	我认为任何违反自然规律的事，都会有负面影响，转基因违背了自然的发展规律，不应该提倡，要让人民知情。   食品供给为什么不注重植物的生长特性应地制宜，。崔永元为了民族利益牺牲自我，这种人还有多少，泱泱大国还有几个人敢站出来说实话，国家的脊梁
121	转基因食品	我认为任何违反自然规律的事，都会有负面影响，转基因违背了自然的发展规律，不应该提倡。就算相关部门批准可以推广，也要让人民知情。   食品供给为什么不注重植物的生长特性应地制宜，通过其他方法来提高粮食产量，为什么要通过科学手段改变植物本事特有的基因。
122	转基因食品	我没有这方面知识，只是想到反季节食物都不怎么好，转基因的食物应该不是什么好东西吧。现在这个社会没几个敢说真话的媒体人了。这个事让我想到了皇帝的新衣。人间正道是沧桑
123	转基因食品	老崔我有一颗真心支持您，咱们在理论上，在科学上都有戳穿转基因的阴谋和危害，人民必胜、正义必胜，这个事在公众平台必须觉悟大众搞清楚，大张旗鼓开展探讨论证，一切阴暗虚伪是见不得阳光的。
124	转基因食品	还有如转基因食品，转基因的本身都不具有生命沿续性，又何以能给提供人生命沿续的作用能。虽然其中具有相对性，但必须有原则的严肃对待。美国很早就在研究实施这一灭绝人性的转基战略，战略的结果只能在害人之中而成自绝灭。
